velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-3.185640,1.776188,-0.000477,-0.005012,-0.002675,-0.000000,-0.012628,-0.010569,-2.906775,-0.000013,0.000072,0.000001,0.000000,0.000000,0.000000,0.000000,86.982620,369.919769,-200.001404,199.935425,200.001404,0.000000,100.001396,0.022610,1.812560,200.001404,0,0,0,0.000000,14105231360.000000,0.000000,14,0,1
-3.186132,1.775924,-0.000477,-0.004919,-0.002640,-0.000000,-0.012621,-0.010571,-2.906775,-0.000026,0.000078,0.000001,0.000000,0.000000,0.000000,0.000000,86.664017,370.097229,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022610,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.186615,1.775665,-0.000477,-0.004822,-0.002592,0.000001,-0.012613,-0.010574,-2.906775,-0.000036,0.000086,0.000001,0.000000,0.000000,0.000000,0.000000,86.345413,370.274231,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022610,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.187088,1.775411,-0.000477,-0.004722,-0.002536,0.000000,-0.012604,-0.010578,-2.906775,-0.000028,0.000081,0.000001,0.000000,0.000000,0.000000,0.000000,86.026810,370.451233,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022610,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.187552,1.775162,-0.000477,-0.004624,-0.002488,0.000001,-0.012596,-0.010580,-2.906775,-0.000015,0.000077,0.000001,0.000000,0.000000,0.000000,0.000000,85.708206,370.628235,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022610,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.188451,1.774675,-0.000477,-0.004446,-0.002416,0.000001,-0.012583,-0.010583,-2.906775,-0.000021,0.000064,0.000001,0.000000,0.000000,0.000000,0.000000,85.070435,370.982239,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022610,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.188888,1.774436,-0.000477,-0.004365,-0.002379,-0.000000,-0.012577,-0.010585,-2.906775,-0.000018,0.000066,0.000001,0.000000,0.000000,0.000000,0.000000,84.751526,371.159241,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022610,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.189317,1.774202,-0.000477,-0.004283,-0.002341,-0.000001,-0.012570,-0.010587,-2.906775,-0.000023,0.000062,0.000001,0.000000,0.000000,0.000000,0.000000,84.432617,371.336243,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022609,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.189738,1.773971,-0.000477,-0.004205,-0.002302,0.000001,-0.012564,-0.010589,-2.906775,-0.000021,0.000058,0.000001,0.000000,0.000000,0.000000,0.000000,84.113708,371.513245,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022609,1.812560,200.001404,1038520371,12954508,100047,-318.895599,178.233276,1.833552,14,0,1
-3.190151,1.773745,-0.000477,-0.004129,-0.002267,-0.000002,-0.012558,-0.010591,-2.906775,-0.000005,0.000058,0.000001,0.000000,0.000000,0.000000,0.000000,83.794800,371.690247,-200.001404,199.935425,200.001404,99.933968,100.001396,0.022609,1.812560,200.001404,1038520494,12954281,99995,-319.805328,177.601959,1.270720,14,0,1
