velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
0.002343,-0.000514,0.000175,0.006622,-0.001515,0.002752,0.004105,-0.008241,-0.610674,-0.000939,-0.001372,0.000755,0.000000,0.000000,0.000000,0.000000,0.000335,0.000863,-16.698133,16.771145,30.330276,0.000000,0.233723,0.000000,-0.000000,30.491459,0,0,0,0.000000,14105231360.000000,0.000000,1,0,1
0.002468,-0.000805,0.000396,0.004100,-0.002379,-0.004353,0.004095,-0.008258,-0.610676,0.000332,0.000730,0.000334,0.000000,0.000000,0.000000,0.000000,0.000380,0.000863,-16.698143,16.771133,30.454466,16.771143,0.234382,0.000000,-0.000000,30.398977,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.002587,-0.000960,0.000216,0.008212,-0.001462,0.008721,0.004087,-0.008264,-0.610702,0.000358,-0.001102,-0.000938,0.000000,0.000000,0.000000,0.000000,0.000386,0.000780,-16.698103,16.771044,30.457108,16.771143,0.234285,0.000000,-0.000000,30.406904,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.002795,-0.000756,0.000285,0.010947,-0.001236,0.002232,0.004072,-0.008292,-0.610707,0.000839,-0.001313,0.000711,0.000000,0.000000,0.000000,0.000000,0.000324,0.000770,-16.698034,16.770996,30.573370,16.771143,0.233232,0.000000,-0.000000,30.488815,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.002564,-0.000708,0.000251,0.007204,-0.004554,0.006200,0.004060,-0.008311,-0.610711,-0.000608,-0.000790,-0.000197,0.000000,0.000000,0.000000,0.000000,0.000365,0.000817,-16.697937,16.770977,30.499386,16.771143,0.233869,0.000000,-0.000000,30.417473,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.002527,-0.001277,0.000034,0.004976,-0.005585,0.008104,0.004061,-0.008300,-0.610753,-0.000681,-0.001798,-0.000316,0.000000,0.000000,0.000000,0.000000,0.000390,0.000855,-16.697950,16.770945,30.520523,16.771143,0.234329,0.000000,-0.000000,30.351416,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.002149,-0.002088,-0.000010,0.006433,-0.007079,0.006640,0.004016,-0.008313,-0.610751,0.001235,-0.000566,0.000847,0.000000,0.000000,0.000000,0.000000,0.000387,0.000685,-16.697941,16.770933,30.253649,16.771143,0.234181,0.000000,-0.000000,30.462393,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.001761,-0.001902,-0.000154,0.005103,-0.005656,0.001067,0.004026,-0.008324,-0.610780,0.000655,-0.001839,-0.000251,0.000000,0.000000,0.000000,0.000000,0.000330,0.000594,-16.697929,16.770969,30.467678,16.771143,0.233747,0.000000,-0.000000,30.388409,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.001376,-0.001705,-0.000138,-0.000124,-0.007001,-0.003661,0.004028,-0.008310,-0.610801,0.000540,-0.000837,0.000579,0.000000,0.000000,0.000000,0.000000,0.000182,0.000627,-16.697933,16.770922,30.539021,16.771143,0.233614,0.000000,-0.000000,30.676420,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.001390,-0.001608,-0.000543,0.001702,-0.006347,-0.007845,0.004015,-0.008316,-0.610815,-0.001313,-0.000544,-0.000433,0.000000,0.000000,0.000000,0.000000,0.000244,0.000703,-16.697874,16.770853,30.620932,16.771143,0.233298,0.000000,-0.000000,30.414831,1082721389,494960849,12319798,0.000000,0.000000,0.000000,1,0,1
0.001654,-0.001404,-0.000721,0.008475,-0.005505,0.005848,0.004019,-0.008312,-0.610853,-0.000111,-0.000265,-0.000806,0.000000,0.000000,0.000000,0.000000,0.000133,0.000740,-16.697849,16.770859,30.412189,16.770863,0.233164,0.000000,-0.000000,30.710772,1082798846,494962887,12319873,0.000000,0.000000,0.000000,1,0,1
0.001889,-0.000958,-0.000590,0.002954,-0.002654,0.001154,0.004124,-0.008264,-0.61
