velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-4.864940,-1.165902,-0.000493,-0.002837,-0.001918,0.000067,-0.028230,-0.001197,-2.906823,0.000081,0.002252,-0.000004,0.000000,0.000000,0.000000,0.000000,-451.971832,497.662170,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.865060,-1.166036,-0.000513,-0.000906,-0.001111,-0.000264,-0.027961,-0.001302,-2.906823,-0.001929,0.002600,-0.000002,0.000000,0.000000,0.000000,0.000000,-452.458893,497.544983,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864977,-1.165957,-0.000539,0.000945,0.001045,-0.000129,-0.027764,-0.001498,-2.906823,-0.001678,0.001356,0.000000,0.000000,0.000000,0.000000,0.000000,-452.945953,497.427795,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864793,-1.165686,-0.000546,0.001833,0.002799,-0.000004,-0.027681,-0.001616,-2.906823,-0.000727,0.000458,0.000004,0.000000,0.000000,0.000000,0.000000,-453.433014,497.310822,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864577,-1.165346,-0.000547,0.002142,0.003277,0.000013,-0.027672,-0.001569,-2.906822,0.001777,-0.000294,0.000008,0.000000,0.000000,0.000000,0.000000,-453.920074,497.194855,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864353,-1.165148,-0.000544,0.002259,0.001680,-0.000148,-0.027721,-0.001344,-2.906822,0.002143,-0.000879,0.000007,0.000000,0.000000,0.000000,0.000000,-454.406494,497.078888,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864180,-1.165164,-0.000551,0.001498,-0.000314,0.000074,-0.027918,-0.001216,-2.906822,0.000505,-0.002669,0.000004,0.000000,0.000000,0.000000,0.000000,-454.892334,496.962921,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864222,-1.165300,-0.000525,-0.000653,-0.001383,0.000202,-0.028160,-0.001208,-2.906821,-0.000138,-0.001902,-0.000001,0.000000,0.000000,0.000000,0.000000,-455.378174,496.846954,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864450,-1.165473,-0.000511,-0.002338,-0.001728,0.000024,-0.028287,-0.001222,-2.906821,-0.000105,-0.000787,-0.000003,0.000000,0.000000,0.000000,0.000000,-455.864014,496.730988,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
-4.864757,-1.165656,-0.000503,-0.003068,-0.001830,0.000271,-0.028316,-0.001221,-2.906822,0.000214,0.000590,-0.000004,0.000000,0.000000,0.000000,0.000000,-456.350708,496.615021,-200.101624,200.023438,200.101624,100.021812,100.101624,0.022525,1.812580,200.101624,1038531917,12906142,100196,-485.549927,-117.284561,0.601816,14,0,1
