velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-0.032284,0.036131,0.003315,-0.089489,0.104661,0.006864,0.003749,-0.005768,-0.115484,0.000885,-0.000010,-0.000167,0.000000,0.000000,0.000000,0.000000,0.044378,-0.005622,-16.578724,16.651716,37.244698,0.000000,-0.000000,-0.000000,0.000000,37.252625,0,0,0,0.000000,14105231360.000000,0.000000,1,0,1
-0.031769,0.036371,0.003167,-0.090485,0.103869,-0.000382,0.003719,-0.005764,-0.115557,0.000819,-0.000141,0.000814,0.000000,0.000000,0.000000,0.000000,0.044487,-0.005663,-16.578741,16.651861,37.133720,16.651709,-0.000000,-0.000000,0.000000,37.257912,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.032171,0.036291,0.002928,-0.094676,0.105610,-0.003127,0.003725,-0.005755,-0.115592,-0.000895,0.001369,0.000385,0.000000,0.000000,0.000000,0.000000,0.044472,-0.005749,-16.578789,16.651814,37.286976,16.651709,-0.000000,-0.000000,0.000000,37.493076,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.032054,0.036265,0.002700,-0.090438,0.102338,0.003914,0.003699,-0.005738,-0.115623,-0.000394,-0.000765,-0.000524,0.000000,0.000000,0.000000,0.000000,0.044547,-0.005613,-16.578722,16.651718,37.080875,16.651709,0.000000,-0.000000,0.000000,37.263195,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031679,0.035987,0.002883,-0.084008,0.102874,0.000465,0.003679,-0.005764,-0.115657,0.000168,-0.000586,-0.000144,0.000000,0.000000,0.000000,0.000000,0.044421,-0.005726,-16.578796,16.651707,37.265839,16.651709,-0.000000,-0.000000,0.000000,37.286976,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031428,0.036182,0.002639,-0.086387,0.105463,0.008026,0.003647,-0.005779,-0.115663,-0.000469,-0.000306,-0.000191,0.000000,0.000000,0.000000,0.000000,0.044463,-0.005685,-16.578701,16.651623,37.260551,16.651709,0.000000,-0.000000,0.000000,37.411163,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.030931,0.036374,0.002270,-0.088710,0.105612,-0.006043,0.003652,-0.005814,-0.115684,-0.000367,0.000556,0.000609,0.000000,0.000000,0.000000,0.000000,0.044639,-0.005762,-16.578730,16.651840,37.173355,16.651709,-0.000000,-0.000000,0.000000,37.170715,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031293,0.036573,0.002084,-0.089661,0.105629,-0.005261,0.003627,-0.005825,-0.115712,-0.000532,-0.000825,0.000319,0.000000,0.000000,0.000000,0.000000,0.044685,-0.005724,-16.578835,16.651834,36.988396,16.651709,-0.000000,-0.000000,0.000000,37.178642,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031635,0.036852,0.001906,-0.088059,0.104243,0.007721,0.003606,-0.005848,-0.115671,-0.001594,0.000200,-0.000480,0.000000,0.000000,0.000000,0.000000,0.044586,-0.005612,-16.578575,16.651558,37.160145,16.651709,-0.000000,-0.000000,0.000000,37.252625,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031996,0.036796,0.001943,-0.092797,0.102061,0.000392,0.003579,-0.005873,-0.115643,0.000341,0.000208,0.001452,0.000000,0.000000,0.000000,0.000000,0.044526,-0.005574,-16.578697,16.651657,37.136364,16.651709,-0.000000,-0.000000,0.000000,37.168072,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031861,0.036346,0.001406,-0.092111,0.100753,-0.003837,0.003587,-0.005892,-0.115653,0.000674,0.000628,-0.000414,0.000000,0.000000,0.000000,0.000000,0.044540,-0.005656,-16.578688,16.651684,37.115227,16.651684,-0.000000,-0.000000,0.000000,37.508930,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031409,0.036023,0.001315,-0.087070,0.100347,0.005165,0.003569,-0.005872,-0.115664,0.000647,-0.003224,0.000780,0.000000,0.000000,0.000000,0.000000,0.044565,-0.005734,-16.578629,16.651606,37.181282,16.651684,-0.000000,-0.000000,0.000000,37.300186,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031484,0.035653,0.002017,-0.087263,0.103406,-0.000446,0.003529,-0.005898,-0.115651,-0.000521,-0.000803,-0.001185,0.000000,0.000000,0.000000,0.000000,0.044558,-0.005804,-16.578575,16.651545,37.360962,16.651684,-0.000000,-0.000000,0.000000,37.210350,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031209,0.035869,0.002115,-0.086352,0.102250,0.005171,0.003502,-0.005911,-0.115610,-0.000264,0.000967,0.001540,0.000000,0.000000,0.000000,0.000000,0.044604,-0.005771,-16.578663,16.651711,37.202423,16.651684,-0.000000,-0.000000,0.000000,37.107300,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031301,0.035572,0.001964,-0.088000,0.099450,0.001577,0.003522,-0.005900,-0.115584,-0.000344,0.000257,0.000597,0.000000,0.000000,0.000000,0.000000,0.044595,-0.005784,-16.578772,16.651798,37.279049,16.651684,-0.000000,-0.000000,0.000000,37.144291,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
-0.031655,0.035855,0.002073,-0.090380,0.108263,-0.001807,0.003489,-0.005924,-0.115563,0.001427,-0.001617,0.000365,0.000000,0.000000,0.000000,0.000000,0.044561,-0.005854,-16.578588,16.651655,37.508930,16.651684,-0.000000,-0.000000,0.000000,37.194496,1331016023,358340932,7289038,0.000000,0.000000,0.000000,1,0,1
