velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_r,euler_data_p,euler_data_y,angular_rate_data_vr,angular_rate_data_vp,angular_rate_data_vy,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
4.937674,-0.768383,-0.000289,0.001446,0.006606,0.000131,-0.028064,-0.000659,-0.154081,-0.001920,-0.002328,-0.000016,0.000000,0.000000,0.000000,0.000000,-304.676453,-521.003784,-200.100861,200.034882,200.100861,0.000000,100.100853,0.022548,1.812420,200.100861,0,0,0,0.000000,14105231360.000000,0.000000,14,0,1
4.937990,-0.767883,-0.000266,0.003256,0.004409,0.000402,-0.028250,-0.001055,-0.154082,-0.004868,-0.000865,-0.000020,0.000000,0.000000,0.000000,0.000000,-304.182556,-521.079468,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.938326,-0.767826,-0.000245,0.003117,0.000166,-0.000061,-0.028175,-0.001476,-0.154083,-0.003227,0.001790,-0.000013,0.000000,0.000000,0.000000,0.000000,-303.688171,-521.155151,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.938473,-0.768076,-0.000269,0.001221,-0.002600,-0.000231,-0.027998,-0.001686,-0.154084,-0.001212,0.001448,-0.000002,0.000000,0.000000,0.000000,0.000000,-303.193787,-521.230835,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.938455,-0.768442,-0.000286,-0.000272,-0.003662,-0.000061,-0.027903,-0.001755,-0.154083,-0.000378,0.000535,0.000008,0.000000,0.000000,0.000000,0.000000,-302.699402,-521.306519,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.938365,-0.768843,-0.000288,-0.000898,-0.004001,0.000021,-0.027874,-0.001782,-0.154082,-0.000213,0.000140,0.000015,0.000000,0.000000,0.000000,0.000000,-302.205017,-521.382202,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.938138,-0.769606,-0.000277,-0.001166,-0.003067,0.000027,-0.027817,-0.001522,-0.154079,0.004686,0.000792,0.000016,0.000000,0.000000,0.000000,0.000000,-301.216248,-521.536987,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.938016,-0.769557,-0.000282,-0.001220,0.001056,-0.000069,-0.027737,-0.001044,-0.154079,0.004132,0.000671,0.000008,0.000000,0.000000,0.000000,0.000000,-300.721863,-521.615112,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.937893,-0.769096,-0.000286,-0.001235,0.004836,-0.000013,-0.027691,-0.000755,-0.154080,0.001798,0.000297,-0.000004,0.000000,0.000000,0.000000,0.000000,-300.227478,-521.693237,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.937769,-0.768439,-0.000290,-0.001244,0.006532,-0.000087,-0.027681,-0.000714,-0.154081,-0.001862,-0.000283,-0.000015,0.000000,0.000000,0.000000,0.000000,-299.733093,-521.769409,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440336,12919356,100174,494.258850,-75.565697,0.720344,14,0,1
4.937648,-0.767925,-0.000299,-0.001195,0.004561,-0.000249,-0.027767,-0.001110,-0.154082,-0.004802,-0.001765,-0.000019,0.000000,0.000000,0.000000,0.000000,-299.239563,-521.845093,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440205,12919744,100018,494.864471,-77.610092,-0.750417,14,0,1
4.937619,-0.767855,-0.000294,-0.000036,0.000268,0.000274,-0.028029,-0.001495,-0.154083,-0.002665,-0.002734,-0.000013,0.000000,0.000000,0.000000,0.000000,-298.746399,-521.920776,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022549,1.812420,200.100861,1038440205,12919744,100018,494.864471,-77.610092,-0.750417,14,0,1
4.937789,-0.768105,-0.000264,0.001871,-0.002598,0.000148,-0.028222,-0.001652,-0.154083,-0.000776,-0.001158,-0.000003,0.000000,0.000000,0.000000,0.000000,-298.253143,-521.996460,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440205,12919744,100018,494.864471,-77.610092,-0.750417,14,0,1
4.938210,-0.768865,-0.000256,0.001192,-0.003938,-0.000266,-0.027989,-0.001756,-0.154082,-0.000516,0.002245,0.000012,0.000000,0.000000,0.000000,0.000000,-297.264374,-522.147827,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440205,12919744,100018,494.864471,-77.610092,-0.750417,14,0,1
4.937957,-0.769600,-0.000285,-0.001930,-0.002856,0.000002,-0.027705,-0.001509,-0.154079,0.004751,0.001137,0.000014,0.000000,0.000000,0.000000,0.000000,-296.275604,-522.302734,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440205,12919744,100018,494.864471,-77.610092,-0.750417,14,0,1
4.937722,-0.769521,-0.000289,-0.002350,0.001347,-0.000036,-0.027607,-0.001035,-0.154079,0.004030,0.000775,0.000007,0.000000,0.000000,0.000000,0.000000,-295.781219,-522.380859,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440205,12919744,100018,494.864471,-77.610092,-0.750417,14,0,1
4.937383,-0.768371,-0.000307,-0.000687,0.006574,0.000153,-0.027855,-0.000704,-0.154081,-0.002037,-0.002874,-0.000016,0.000000,0.000000,0.000000,0.000000,-294.794861,-522.534912,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440205,12919744,100018,494.864471,-77.610092,-0.750417,14,0,1
4.937518,-0.767889,-0.000279,0.001519,0.004224,0.000224,-0.028111,-0.001098,-0.154082,-0.004666,-0.002035,-0.000019,0.000000,0.000000,0.000000,0.000000,-294.301697,-522.610596,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440079,12920163,100087,495.132568,-77.759384,0.020495,14,0,1
4.938108,-0.768114,-0.000244,0.003077,-0.002725,0.000201,-0.028241,-0.001658,-0.154083,-0.001178,0.001482,-0.000001,0.000000,0.000000,0.000000,0.000000,-293.314117,-522.761963,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440079,12920163,100087,495.132568,-77.759384,0.020495,14,0,1
4.938294,-0.768489,-0.000256,0.001568,-0.003751,-0.000254,-0.028025,-0.001745,-0.154083,-0.000639,0.002255,0.000008,0.000000,0.000000,0.000000,0.000000,-292.819733,-522.837646,-200.100861,200.034882,200.100861,100.034019,100.100853,0.022550,1.812420,200.100861,1038440079,12920163,100087,495.132568,-77.759384,0.020495,14,0,1
