velocity_data_x,velocity_data_y,velocity_data_z,acceleration_data_x,acceleration_data_y,acceleration_data_z,euler_data_x,euler_data_y,euler_data_z,angular_rate_data_x,angular_rate_data_y,angular_rate_data_z,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
0.010999,0.014832,-0.019702,0.031984,0.040889,-0.017287,0.009871,-0.013078,2.033642,-0.000007,-0.002691,0.000646,0.000000,0.000000,0.000000,0.000000,0.001879,0.002665,-17.236814,17.404236,17.500084,0.000000,0.215525,0.000000,0.000000,17.661264,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.011006,0.015078,-0.019717,0.029865,0.049433,-0.014910,0.009863,-0.013064,2.033663,0.000554,-0.000253,0.000148,0.000000,0.000000,0.000000,0.000000,0.001893,0.002596,-17.236776,17.404219,17.539719,17.404236,0.215936,0.000000,0.000000,17.624273,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010944,0.014815,-0.019595,0.028195,0.045491,-0.017546,0.009870,-0.013072,2.033668,-0.000461,-0.001056,-0.000548,0.000000,0.000000,0.000000,0.000000,0.001925,0.002555,-17.236948,17.404037,17.589922,17.404236,0.215706,0.000000,0.000000,17.539719,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010898,0.014925,-0.019595,0.028506,0.045249,-0.015863,0.009873,-0.013065,2.033673,-0.000876,0.000297,0.001521,0.000000,0.000000,0.000000,0.000000,0.001935,0.002547,-17.236767,17.404266,17.455164,17.404236,0.216224,0.000000,0.000000,17.589922,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010794,0.015041,-0.019609,0.030125,0.044905,-0.027586,0.009875,-0.013067,2.033680,-0.000543,-0.000795,0.001680,0.000000,0.000000,0.000000,0.000000,0.001965,0.002542,-17.236996,17.404081,17.352114,17.404236,0.216008,0.000000,0.000000,17.455164,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010647,0.015184,-0.019714,0.028390,0.046560,-0.020807,0.009883,-0.013069,2.033681,0.000159,0.001044,-0.000638,0.000000,0.000000,0.000000,0.000000,0.001893,0.002575,-17.236811,17.403915,17.444595,17.404236,0.217017,0.000000,0.000000,17.352114,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010545,0.015149,-0.019710,0.025388,0.046764,-0.021425,0.009880,-0.013063,2.033684,-0.000866,0.001468,-0.001576,0.000000,0.000000,0.000000,0.000000,0.001883,0.002588,-17.236645,17.404165,17.663908,17.404236,0.216829,0.000000,0.000000,17.510653,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010633,0.015154,-0.019577,0.027967,0.043955,-0.025135,0.009897,-0.013072,2.033681,-0.000734,0.001710,-0.002248,0.000000,0.000000,0.000000,0.000000,0.001914,0.002555,-17.236895,17.404011,17.441954,17.404236,0.216633,0.000000,0.000000,17.663908,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010437,0.015475,-0.019605,0.028717,0.046535,-0.017263,0.009910,-0.013067,2.033687,0.000038,0.002738,0.000680,0.000000,0.000000,0.000000,0.000000,0.001957,0.002573,-17.236740,17.404341,17.254349,17.404236,0.216724,0.000000,0.000000,17.441954,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010512,0.015595,-0.019594,0.030761,0.047553,-0.030709,0.009913,-0.013063,2.033711,0.000067,0.000637,0.002210,0.000000,0.000000,0.000000,0.000000,0.001848,0.002636,-17.237070,17.404163,17.589922,17.404236,0.216525,0.000000,0.000000,17.254349,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010305,0.015523,-0.019586,0.029177,0.044834,-0.022558,0.009893,-0.013068,2.033715,-0.000746,0.000153,-0.000677,0.000000,0.000000,0.000000,0.000000,0.001870,0.002636,-17.236893,17.404417,17.523865,17.404236,0.216683,0.000000,0.000000,17.589922,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010193,0.015310,-0.019566,0.025715,0.040744,-0.033233,0.009883,-0.013073,2.033714,-0.001026,0.000120,0.000100,0.000000,0.000000,0.000000,0.000000,0.001828,0.002662,-17.237146,17.404261,17.486872,17.404236,0.216481,0.000000,0.000000,17.523865,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010220,0.015279,-0.019616,0.028054,0.042389,-0.030699,0.009880,-0.013067,2.033715,-0.000183,-0.002038,0.001411,0.000000,0.000000,0.000000,0.000000,0.001850,0.002646,-17.236990,17.404501,17.367968,17.404236,0.216271,0.000000,0.000000,17.486872,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010181,0.015427,-0.019619,0.030841,0.044690,-0.021498,0.009883,-0.013063,2.033725,-0.000604,-0.000828,0.001103,0.000000,0.000000,0.000000,0.000000,0.001815,0.002635,-17.237230,17.404333,17.441954,17.404236,0.216522,0.000000,0.000000,17.367968,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.009949,0.015501,-0.019644,0.028649,0.045546,-0.019354,0.009886,-0.013066,2.033719,-0.000819,0.000560,-0.000822,0.000000,0.000000,0.000000,0.000000,0.001756,0.002669,-17.237062,17.404186,17.325691,17.404236,0.216310,0.000000,0.000000,17.441954,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.009901,0.015553,-0.019573,0.025846,0.040914,-0.020843,0.009886,-0.013074,2.033719,-0.001179,0.001014,-0.000747,0.000000,0.000000,0.000000,0.000000,0.001756,0.002673,-17.236916,17.404427,17.473661,17.404236,0.215987,0.000000,0.000000,17.325691,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.009883,0.015704,-0.019580,0.028588,0.044177,-0.027623,0.009913,-0.013082,2.033723,0.000409,-0.000116,0.000255,0.000000,0.000000,0.000000,0.000000,0.001781,0.002758,-17.237156,17.404291,17.415529,17.404236,0.215756,0.000000,0.000000,17.473661,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010044,0.015807,-0.019600,0.031046,0.046166,-0.007175,0.009913,-0.013072,2.033708,0.000127,-0.001282,-0.001040,0.000000,0.000000,0.000000,0.000000,0.001717,0.002776,-17.237020,17.404490,17.626915,17.404236,0.215516,0.000000,0.000000,17.415529,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010041,0.015695,-0.019432,0.033475,0.046000,-0.010981,0.009903,-0.013069,2.033737,-0.000347,-0.000661,0.000232,0.000000,0.000000,0.000000,0.000000,0.001717,0.002785,-17.237219,17.404356,17.434027,17.404236,0.216094,0.000000,0.000000,17.626915,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010148,0.015408,-0.019281,0.032623,0.044219,-0.024313,0.009903,-0.013063,2.033714,0.000382,-0.001076,-0.001334,0.000000,0.000000,0.000000,0.000000,0.001699,0.002708,-17.237085,17.404573,17.508011,17.404236,0.215874,0.000000,0.000000,17.434027,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010363,0.015551,-0.019358,0.032764,0.045332,-0.021995,0.009892,-0.013073,2.033729,-0.000694,-0.000248,-0.000029,0.000000,0.000000,0.000000,0.000000,0.001728,0.002699,-17.237303,17.404430,17.589922,17.404236,0.216365,0.000000,0.000000,17.508011,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010411,0.015529,-0.019354,0.034839,0.043466,-0.025736,0.009900,-0.013069,2.033734,-0.000841,0.000270,0.002667,0.000000,0.000000,0.000000,0.000000,0.001747,0.002694,-17.237160,17.404591,17.352114,17.404236,0.216155,0.000000,0.000000,17.589922,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010500,0.015571,-0.019399,0.033743,0.045758,-0.023722,0.009896,-0.013072,2.033741,-0.000080,0.000015,0.000339,0.000000,0.000000,0.000000,0.000000,0.001707,0.002721,-17.237320,17.404385,17.494799,17.404236,0.215936,0.000000,0.000000,17.352114,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010498,0.015336,-0.019375,0.029863,0.042296,-0.020984,0.009903,-0.013065,2.033752,-0.001040,0.001029,0.000299,0.000000,0.000000,0.000000,0.000000,0.001740,0.002690,-17.237114,17.404200,17.603134,17.404236,0.216338,0.000000,0.000000,17.494799,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010672,0.015325,-0.019407,0.031263,0.043990,-0.025434,0.009918,-0.013062,2.033730,-0.000155,-0.000646,-0.000350,0.000000,0.000000,0.000000,0.000000,0.001803,0.002679,-17.236929,17.404463,17.566141,17.404236,0.216126,0.000000,0.000000,17.603134,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010675,0.015258,-0.019514,0.030539,0.043958,-0.018588,0.009910,-0.013050,2.033736,0.000325,-0.001503,-0.001527,0.000000,0.000000,0.000000,0.000000,0.001816,0.002699,-17.237192,17.404291,17.341545,17.404236,0.216502,0.000000,0.000000,17.566141,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010762,0.015104,-0.019437,0.034085,0.040993,-0.026690,0.009931,-0.013047,2.033726,-0.001011,-0.002035,0.000470,0.000000,0.000000,0.000000,0.000000,0.001822,0.002635,-17.237020,17.404436,17.698257,17.404236,0.216295,0.000000,0.000000,17.341545,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010677,0.014937,-0.019538,0.030048,0.042057,-0.010923,0.009925,-0.013046,2.033743,0.000350,-0.000453,0.000214,0.000000,0.000000,0.000000,0.000000,0.001781,0.002638,-17.237165,17.404284,17.349472,17.404236,0.216078,0.000000,0.000000,17.698257,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010952,0.015198,-0.019479,0.033817,0.042535,-0.018249,0.009943,-0.013041,2.033706,0.000824,-0.000299,-0.000199,0.000000,0.000000,0.000000,0.000000,0.001809,0.002618,-17.237013,17.404495,17.508011,17.404236,0.216428,0.000000,0.000000,17.349472,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.011044,0.015329,-0.019496,0.031625,0.044967,-0.010675,0.009929,-0.013032,2.033715,0.000527,0.000738,0.000058,0.000000,0.000000,0.000000,0.000000,0.001854,0.002703,-17.237225,17.404331,17.399675,17.404236,0.216217,0.000000,0.000000,17.508011,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.011042,0.015162,-0.019356,0.032338,0.042837,-0.019945,0.009937,-0.013026,2.033678,-0.001107,0.000578,-0.000903,0.000000,0.000000,0.000000,0.000000,0.001887,0.002697,-17.237061,17.404535,17.309837,17.404236,0.216523,0.000000,0.000000,17.399675,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010757,0.015119,-0.019258,0.027373,0.042589,-0.017750,0.009929,-0.013026,2.033685,-0.001222,0.000743,0.000330,0.000000,0.000000,0.000000,0.000000,0.001882,0.002651,-17.237265,17.404362,17.468376,17.404236,0.216319,0.000000,0.000000,17.309837,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.010936,0.015155,-0.019202,0.028445,0.042486,-0.023360,0.009929,-0.013033,2.033697,-0.000476,-0.000346,0.000848,0.000000,0.000000,0.000000,0.000000,0.001891,0.002635,-17.237091,17.404165,17.534433,17.404236,0.216108,0.000000,0.000000,17.468376,0,0,0,0.000000,0.000000,0.000000,1,0,1
0.011114,0.015148,-0.019189,0.030254,0.042825,-0.022970,0.009918,-0.013033,2.033683,-0.000605,-0.000932,-0.001005,0.000000,0.000000,0.000000,0.000000,0.001964,0.002683,-17.236895,17.404383,17.381180,17.404236,0.217059,0.000000,0.000000,17.534433,0,0,0,0.000000,0.000000,0.000000,1,0,1
